timestamp,kpi_id,entity_id,value,scaled_val1,scaled_val2,,,
01-11-2025 00:00,1001,LNCEL_1,130,0.123756906,13,,18,Min
01-11-2025 01:00,1001,LNCEL_1,113,0.104972376,11,,923,Max
01-11-2025 02:00,1001,LNCEL_1,119,0.11160221,12,,,
01-11-2025 03:00,1001,LNCEL_1,99,0.089502762,9,,,
01-11-2025 04:00,1001,LNCEL_1,83,0.071823204,8,,,
01-11-2025 05:00,1001,LNCEL_1,49,0.034254144,4,,,
01-11-2025 06:00,1001,LNCEL_1,55,0.040883978,5,,,
01-11-2025 07:00,1001,LNCEL_1,29,0.012154696,2,,,
01-11-2025 09:00,1001,LNCEL_1,55,0.040883978,5,,,
01-11-2025 10:00,1001,LNCEL_1,91,0.080662983,9,,,
01-11-2025 11:00,1001,LNCEL_1,136,0.13038674,14,,,
01-11-2025 12:00,1001,LNCEL_1,173,0.171270718,18,,,
01-11-2025 13:00,1001,LNCEL_1,168,0.165745856,17,,,
01-11-2025 14:00,1001,LNCEL_1,183,0.182320442,19,,,
01-11-2025 15:00,1001,LNCEL_1,201,0.202209945,21,,,
01-11-2025 16:00,1001,LNCEL_1,153,0.149171271,15,,,
01-11-2025 17:00,1001,LNCEL_1,149,0.144751381,15,,,
01-11-2025 18:00,1001,LNCEL_1,109,0.100552486,11,,,
01-11-2025 19:00,1001,LNCEL_1,124,0.117127072,12,,,
01-11-2025 20:00,1001,LNCEL_1,129,0.122651934,13,,,
01-11-2025 21:00,1001,LNCEL_1,165,0.162430939,17,,,
01-11-2025 23:00,1001,LNCEL_1,184,0.183425414,19,,,
01-11-2025 23:00,1001,LNCEL_1,184,0.183425414,19,,,
02-11-2025 00:00,1001,LNCEL_1,158,0.154696133,16,,,
02-11-2025 01:00,1001,LNCEL_1,132,0.125966851,13,,,
02-11-2025 02:00,1001,LNCEL_1,95,0.085082873,9,,,
02-11-2025 03:00,1001,LNCEL_1,86,0.075138122,8,,,
02-11-2025 04:00,1001,LNCEL_1,44,0.028729282,3,,,
02-11-2025 05:00,1001,LNCEL_1,33,0.016574586,2,,,
02-11-2025 07:00,1001,LNCEL_1,22,0.00441989,1,,,
02-11-2025 09:00,1001,LNCEL_1,37,0.020994475,3,,,
02-11-2025 09:00,1001,LNCEL_1,37,0.020994475,3,,,
02-11-2025 10:00,1001,LNCEL_1,72,0.059668508,6,,,
02-11-2025 12:00,1001,LNCEL_1,125,0.118232044,12,,,
02-11-2025 12:00,1001,LNCEL_1,125,0.118232044,12,,,
02-11-2025 14:00,1001,LNCEL_1,178,0.17679558,18,,,
02-11-2025 18:00,1001,LNCEL_1,127,0.120441989,13,,,
02-11-2025 21:00,1001,LNCEL_1,133,0.127071823,13,,,
02-11-2025 22:00,1001,LNCEL_1,149,0.144751381,15,,,
02-11-2025 23:00,1001,LNCEL_1,164,0.161325967,17,,,
03-11-2025 00:00,1001,LNCEL_1,149,0.144751381,15,,,
03-11-2025 01:00,1001,LNCEL_1,120,0.112707182,12,,,
03-11-2025 02:00,1001,LNCEL_1,94,0.083977901,9,,,
03-11-2025 03:00,1001,LNCEL_1,66,0.053038674,6,,,
03-11-2025 04:00,1001,LNCEL_1,40,0.024309392,3,,,
03-11-2025 05:00,1001,LNCEL_1,34,0.017679558,2,,,
03-11-2025 06:00,1001,LNCEL_1,31,0.014364641,2,,,
03-11-2025 07:00,1001,LNCEL_1,26,0.008839779,1,,,
03-11-2025 08:00,1001,LNCEL_1,25,0.007734807,1,,,
03-11-2025 09:00,1001,LNCEL_1,28,0.011049724,2,,,
03-11-2025 10:00,1001,LNCEL_1,52,0.037569061,4,,,
03-11-2025 11:00,1001,LNCEL_1,53,0.038674033,4,,,
03-11-2025 12:00,1001,LNCEL_1,70,0.057458564,6,,,
03-11-2025 13:00,1001,LNCEL_1,107,0.098342541,10,,,
03-11-2025 14:00,1001,LNCEL_1,107,0.098342541,10,,,
03-11-2025 15:00,1001,LNCEL_1,131,0.124861878,13,,,
03-11-2025 17:00,1001,LNCEL_1,139,0.133701657,14,,,
03-11-2025 18:00,1001,LNCEL_1,147,0.142541436,15,,,
03-11-2025 19:00,1001,LNCEL_1,163,0.160220994,17,,,
03-11-2025 20:00,1001,LNCEL_1,713,0.767955801,77,,,
03-11-2025 21:00,1001,LNCEL_1,769,0.829834254,83,,,
03-11-2025 22:00,1001,LNCEL_1,248,0.254143646,26,,,
03-11-2025 23:00,1001,LNCEL_1,224,0.227624309,23,,,
04-11-2025 00:00,1001,LNCEL_1,452,0.479558011,48,,,
04-11-2025 01:00,1001,LNCEL_1,405,0.427624309,43,,,
04-11-2025 03:00,1001,LNCEL_1,81,0.06961326,7,,,
04-11-2025 04:00,1001,LNCEL_1,91,0.080662983,9,,,
04-11-2025 05:00,1001,LNCEL_1,54,0.039779006,4,,,
04-11-2025 07:00,1001,LNCEL_1,35,0.01878453,2,,,
04-11-2025 08:00,1001,LNCEL_1,43,0.027624309,3,,,
04-11-2025 09:00,1001,LNCEL_1,64,0.050828729,6,,,
04-11-2025 10:00,1001,LNCEL_1,64,0.050828729,6,,,
04-11-2025 11:00,1001,LNCEL_1,116,0.108287293,11,,,
04-11-2025 12:00,1001,LNCEL_1,110,0.101657459,11,,,
